category,subcategory_lvl1,subcategory_lvl2,page_url,product_id,image_url,brand,price,title,description,gender
Ayakkabı,Ayakkabı aksesuar,Fl-1804-36 renksiz unisex taban,https://www.flo.com.tr/flo-fl-1804-36-renksiz-unisex-taban-100295104-95z,95z,https://floimages.mncdn.com/media/catalog/product/20-04/13/100295104_1.JPG,Flo,24.99,FL-1804-36 Renksiz Unisex Taban,,Unisex
Ayakkabı,Ayakkabı aksesuar,Fl-1802-45 renksiz unisex taban,https://www.flo.com.tr/flo-fl-1802-45-renksiz-unisex-taban-100295091-95z,95z,https://floimages.mncdn.com/media/catalog/product/20-04/13/100295091_1.JPG,Flo,16.99,FL-1802-45 Renksiz Unisex Taban,,Unisex
Ayakkabı,Günlük ayakkabı,Casual ayakkabı,https://www.flo.com.tr/panama-club-lg-03-siyah-erkek-ayakkabi-100316913,100316913,https://floimages.mncdn.com/media/catalog/product/1/0/100316913_1.jpg,Panama Club,79.99,LG-03 Siyah Erkek Ayakkabı,,Erkek
Ayakkabı,Terlik,Düz terlik,https://www.flo.com.tr/muggo-kapitone-detay-duz-kadin-terlik-200056528,200056528,https://floimages.mncdn.com/media/catalog/product/20-12/11/muggo-tak88-kapitone-kadin-terlik-21119.jpg?0.4749907824855282,Muggo,114.99,Kapitone Detay Düz Kadın Terlik,Marka :Muggo,Kadın
Giyim,Tişört,Kısa kollu tişört,https://www.flo.com.tr/slazenger-rain-erkek-t-shirt-siyah-200001747,200001747,https://floimages.mncdn.com/media/catalog/product/20-06/15/st10te084-500_0.jpg,Slazenger,114.9,RAIN Erkek T-Shirt Siyah,,Erkek
Ayakkabı,Outdoor ayakkabı,Trekking ve outdoor bot,https://www.flo.com.tr/timberland-6-in-double-collar-boot-yesil-erkek-bot-100397748,100397748,https://floimages.mncdn.com/media/catalog/product/1/0/100397748_1.jpg,Timberland,1078.99,6 IN DOUBLE COLLAR BOOT Yeşil Erkek Bot,,6 IN DOUBLE COLLAR BOOT
Ayakkabı,Günlük ayakkabı,Casual ayakkabı,https://www.flo.com.tr/panama-club-2804-siyah-erkek-ayakkabi-100316758,100316758,https://floimages.mncdn.com/media/catalog/product/1/0/100316758_1.jpg,Panama Club,59.99,2804 Siyah Erkek Ayakkabı,,Erkek
Giyim,Sweatshirt,Karmela haki erkek hırka,https://www.flo.com.tr/slazenger-karmela-haki-erkek-hirka-100404583,100404583,https://floimages.mncdn.com/media/catalog/product/20-06/29/100404583_1.JPG,Slazenger,128.8,KARMELA Haki Erkek Hırka,,KARMELA
Ayakkabı,Klasik ayakkabı,318 lacivert erkek klasik ayakkabı,https://www.flo.com.tr/garamond-318-lacivert-erkek-klasik-ayakkabi-100316812,100316812,https://floimages.mncdn.com/media/catalog/product/1/0/100316812_1.jpg,Garamond,109.99,318 Lacivert Erkek Klasik Ayakkabı,,Erkek
Ayakkabı,Babet,Ds18005 bej kadın babet,https://www.flo.com.tr/miss-f-ds18005-bej-kadin-babet-100316255,100316255,https://floimages.mncdn.com/media/catalog/product/1/0/100316255_1.jpg,Miss F,59.99,DS18005 Bej Kadın Babet,İç Materyal: Suni Deri,Kadın
